policy,asset_id,asset_type,site,event_count,caught_failures,missed_failures,service_visits,carry_in_visits,unnecessary_services,unsuccessful_services,planned_downtime_hours,unplanned_downtime_hours,total_downtime_hours,emergency_repair_cost_cad,planned_service_cost_cad,downtime_cost_cad,total_cost_cad
reactive,AB-001,pumpjack,Peace River,1,0,1,0,0,0,0,0,47.3,47.3,19988.64,0,30744.999999999996,50733.64
reactive,AB-002,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-003,pipeline_pump,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-004,pumpjack,Lloydminster,1,0,1,0,0,0,0,0,60.1,60.1,18379.84,0,39065.0,57444.84
reactive,AB-005,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-006,pipeline_pump,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-007,pumpjack,Red Deer,1,0,1,0,0,0,0,0,49.1,49.1,15000.52,0,31915.0,46915.520000000004
reactive,AB-008,compressor,Lloydminster,1,0,1,0,0,0,0,0,133.1,133.1,43260.47,0,186340.0,229600.47
reactive,AB-009,pipeline_pump,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-010,pumpjack,Grande Prairie,1,0,1,0,0,0,0,0,44.1,44.1,17052.35,0,28665.0,45717.35
reactive,AB-011,compressor,Red Deer,1,0,1,0,0,0,0,0,125.2,125.2,60131.41,0,175280.0,235411.41
reactive,AB-012,pipeline_pump,Lloydminster,1,0,1,0,0,0,0,0,68.2,68.2,39541.71,0,64790.0,104331.70999999999
reactive,AB-013,pumpjack,Peace River,1,0,1,0,0,0,0,0,87.5,87.5,23103.34,0,56875.0,79978.34
reactive,AB-014,compressor,Grande Prairie,1,0,1,0,0,0,0,0,88.4,88.4,45792.98,0,123760.00000000001,169552.98
reactive,AB-015,pipeline_pump,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-016,pumpjack,Lloydminster,1,0,1,0,0,0,0,0,50.6,50.6,16803.4,0,32890.0,49693.4
reactive,AB-017,compressor,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-018,pipeline_pump,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-019,pumpjack,Red Deer,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-020,compressor,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-021,pipeline_pump,Peace River,1,0,1,0,0,0,0,0,118.8,118.8,41019.23,0,112860.0,153879.23
reactive,AB-022,pumpjack,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-023,compressor,Red Deer,1,0,1,0,0,0,0,0,116.6,116.6,37409.16,0,163240.0,200649.16
reactive,AB-024,pipeline_pump,Lloydminster,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-025,pumpjack,Peace River,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
reactive,AB-026,compressor,Grande Prairie,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
