cohort,model,score_scale,bin_lower,bin_upper,rows,mean_score,observed_positive_rate
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.0,0.1,1073,0.005670971535861545,0.004659832246039142
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.1,0.2,17,0.1486486540997316,0.23529411764705882
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.2,0.3,5,0.22827405134811646,0.4
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.3,0.4,2,0.3516640193121441,0.0
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.4,0.5,6,0.43407032372815046,0.3333333333333333
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.5,0.6,2,0.511857251779303,0.5
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.6,0.7,4,0.6657821202814656,0.5
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.7,0.8,7,0.7530572089861292,0.42857142857142855
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.8,0.9,23,0.8437767130760898,0.6086956521739131
seed42_retrospective_asset_holdout,published_reference_80_assets,raw,0.9,1.0,81,0.9823577093367775,1.0
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.0,0.1,1022,0.01734507710502643,0.0009784735812133072
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.1,0.2,44,0.13208526908615467,0.09090909090909091
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.2,0.3,11,0.25788239247490796,0.0
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.3,0.4,11,0.3624863826739691,0.36363636363636365
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.4,0.5,6,0.4318201472625122,0.3333333333333333
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.5,0.6,3,0.5588562889925649,0.0
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.6,0.7,6,0.6552758411335148,0.3333333333333333
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.7,0.8,4,0.7527595076059084,0.75
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.8,0.9,18,0.8728396572847205,0.4444444444444444
seed42_retrospective_asset_holdout,published_reference_80_assets,calibrated,0.9,1.0,95,0.9773352829399936,0.9473684210526315
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.0,0.1,1069,0.008146218615749889,0.005612722170252572
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.1,0.2,15,0.1476444570543575,0.06666666666666667
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.2,0.3,5,0.25427000835464303,0.0
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.3,0.4,5,0.3394805665669395,0.4
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.4,0.5,2,0.41781863835975086,0.5
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.5,0.6,3,0.5522962973494844,0.3333333333333333
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.6,0.7,9,0.6509714813430267,0.1111111111111111
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.7,0.8,2,0.7630600711435176,0.5
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.8,0.9,10,0.8586595161376861,0.7
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,raw,0.9,1.0,100,0.9762401760024333,0.94
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.0,0.1,945,0.01777613439626254,0.0021164021164021165
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.1,0.2,109,0.13991361967448487,0.01834862385321101
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.2,0.3,16,0.23123330259998628,0.125
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.3,0.4,13,0.33916077238058256,0.07692307692307693
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.4,0.5,5,0.45123979461836095,0.0
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.5,0.6,6,0.5484484759239938,0.3333333333333333
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.6,0.7,2,0.621022999299268,0.5
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.7,0.8,10,0.7559155375282185,0.1
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.8,0.9,8,0.8544285172403918,0.625
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,calibrated,0.9,1.0,106,0.9751336453672669,0.9245283018867925
external_seed101,published_reference_80_assets,raw,0.0,0.1,4215,0.008570324678109694,0.06192170818505338
external_seed101,published_reference_80_assets,raw,0.1,0.2,82,0.1467712265858881,0.13414634146341464
external_seed101,published_reference_80_assets,raw,0.2,0.3,26,0.2526654840276239,0.15384615384615385
external_seed101,published_reference_80_assets,raw,0.3,0.4,30,0.35378425939476793,0.5
external_seed101,published_reference_80_assets,raw,0.4,0.5,20,0.4376005611494394,0.35
external_seed101,published_reference_80_assets,raw,0.5,0.6,26,0.5517278574671909,0.4230769230769231
external_seed101,published_reference_80_assets,raw,0.6,0.7,18,0.6427420527344461,0.7222222222222222
external_seed101,published_reference_80_assets,raw,0.7,0.8,24,0.7615132971605583,0.6666666666666666
external_seed101,published_reference_80_assets,raw,0.8,0.9,53,0.8536745365170773,0.9056603773584906
external_seed101,published_reference_80_assets,raw,0.9,1.0,386,0.9764514372338275,0.9922279792746114
external_seed101,published_reference_80_assets,calibrated,0.0,0.1,3835,0.02108112067293591,0.05684485006518905
external_seed101,published_reference_80_assets,calibrated,0.1,0.2,310,0.13672924487399654,0.10967741935483871
external_seed101,published_reference_80_assets,calibrated,0.2,0.3,86,0.24151512718954876,0.12790697674418605
external_seed101,published_reference_80_assets,calibrated,0.3,0.4,54,0.3487109054320857,0.14814814814814814
external_seed101,published_reference_80_assets,calibrated,0.4,0.5,28,0.4435013318596253,0.14285714285714285
external_seed101,published_reference_80_assets,calibrated,0.5,0.6,28,0.550513130474591,0.35714285714285715
external_seed101,published_reference_80_assets,calibrated,0.6,0.7,32,0.6415504254182169,0.40625
external_seed101,published_reference_80_assets,calibrated,0.7,0.8,39,0.7560480404058849,0.5128205128205128
external_seed101,published_reference_80_assets,calibrated,0.8,0.9,40,0.8672345561640371,0.775
external_seed101,published_reference_80_assets,calibrated,0.9,1.0,428,0.9774273785777109,0.9813084112149533
external_seed101,asset_holdout_study_60_assets,raw,0.0,0.1,4113,0.010228661638649685,0.06029662047167517
external_seed101,asset_holdout_study_60_assets,raw,0.1,0.2,125,0.14209264386363055,0.144
external_seed101,asset_holdout_study_60_assets,raw,0.2,0.3,54,0.24774581554639497,0.14814814814814814
external_seed101,asset_holdout_study_60_assets,raw,0.3,0.4,44,0.347390545704026,0.29545454545454547
external_seed101,asset_holdout_study_60_assets,raw,0.4,0.5,19,0.4449793742580682,0.21052631578947367
external_seed101,asset_holdout_study_60_assets,raw,0.5,0.6,21,0.5496458208207446,0.47619047619047616
external_seed101,asset_holdout_study_60_assets,raw,0.6,0.7,18,0.6613856448072035,0.4444444444444444
external_seed101,asset_holdout_study_60_assets,raw,0.7,0.8,29,0.7569845010247414,0.5862068965517241
external_seed101,asset_holdout_study_60_assets,raw,0.8,0.9,51,0.8536018468196591,0.803921568627451
external_seed101,asset_holdout_study_60_assets,raw,0.9,1.0,406,0.9792685186256455,0.9901477832512315
external_seed101,asset_holdout_study_60_assets,calibrated,0.0,0.1,3511,0.0196922641370134,0.05639418968954714
external_seed101,asset_holdout_study_60_assets,calibrated,0.1,0.2,479,0.13574325091836265,0.081419624217119
external_seed101,asset_holdout_study_60_assets,calibrated,0.2,0.3,169,0.24799189530293725,0.10059171597633136
external_seed101,asset_holdout_study_60_assets,calibrated,0.3,0.4,72,0.3559467422257147,0.16666666666666666
external_seed101,asset_holdout_study_60_assets,calibrated,0.4,0.5,51,0.44744379537530676,0.11764705882352941
external_seed101,asset_holdout_study_60_assets,calibrated,0.5,0.6,52,0.5512704951434035,0.25
external_seed101,asset_holdout_study_60_assets,calibrated,0.6,0.7,26,0.6473274688400414,0.34615384615384615
external_seed101,asset_holdout_study_60_assets,calibrated,0.7,0.8,29,0.748456658773024,0.41379310344827586
external_seed101,asset_holdout_study_60_assets,calibrated,0.8,0.9,64,0.8612140789964637,0.6875
external_seed101,asset_holdout_study_60_assets,calibrated,0.9,1.0,427,0.9778283787494989,0.9812646370023419
external_seed202,published_reference_80_assets,raw,0.0,0.1,4086,0.01045116915534951,0.042584434654919234
external_seed202,published_reference_80_assets,raw,0.1,0.2,107,0.1367535962002928,0.2897196261682243
external_seed202,published_reference_80_assets,raw,0.2,0.3,34,0.24686453605439715,0.4411764705882353
external_seed202,published_reference_80_assets,raw,0.3,0.4,38,0.350273465778611,0.6842105263157895
external_seed202,published_reference_80_assets,raw,0.4,0.5,20,0.45057794416136154,0.6
external_seed202,published_reference_80_assets,raw,0.5,0.6,19,0.5516403703102094,0.9473684210526315
external_seed202,published_reference_80_assets,raw,0.6,0.7,33,0.6509294121727017,0.9090909090909091
external_seed202,published_reference_80_assets,raw,0.7,0.8,40,0.7564288205353241,0.925
external_seed202,published_reference_80_assets,raw,0.8,0.9,63,0.8548383574424299,0.9365079365079365
external_seed202,published_reference_80_assets,raw,0.9,1.0,440,0.9768215844882709,0.9931818181818182
external_seed202,published_reference_80_assets,calibrated,0.0,0.1,3587,0.022050843906950036,0.024254251463618624
external_seed202,published_reference_80_assets,calibrated,0.1,0.2,387,0.14087893759804107,0.1524547803617571
external_seed202,published_reference_80_assets,calibrated,0.2,0.3,149,0.2429063501649955,0.2550335570469799
external_seed202,published_reference_80_assets,calibrated,0.3,0.4,62,0.347102277158331,0.3064516129032258
external_seed202,published_reference_80_assets,calibrated,0.4,0.5,32,0.4492859814069976,0.4375
external_seed202,published_reference_80_assets,calibrated,0.5,0.6,34,0.5554758324852427,0.5882352941176471
external_seed202,published_reference_80_assets,calibrated,0.6,0.7,34,0.6438923766591527,0.6176470588235294
external_seed202,published_reference_80_assets,calibrated,0.7,0.8,36,0.7636594051536344,0.9722222222222222
external_seed202,published_reference_80_assets,calibrated,0.8,0.9,69,0.8569184961179971,0.8985507246376812
external_seed202,published_reference_80_assets,calibrated,0.9,1.0,490,0.9773784858582122,0.9877551020408163
external_seed202,asset_holdout_study_60_assets,raw,0.0,0.1,3887,0.011611338645142908,0.04064831489580654
external_seed202,asset_holdout_study_60_assets,raw,0.1,0.2,200,0.13628455647269644,0.205
external_seed202,asset_holdout_study_60_assets,raw,0.2,0.3,94,0.24351725243823985,0.2553191489361702
external_seed202,asset_holdout_study_60_assets,raw,0.3,0.4,45,0.3418509089413731,0.3111111111111111
external_seed202,asset_holdout_study_60_assets,raw,0.4,0.5,28,0.44172744658252017,0.5357142857142857
external_seed202,asset_holdout_study_60_assets,raw,0.5,0.6,36,0.555377631148642,0.5277777777777778
external_seed202,asset_holdout_study_60_assets,raw,0.6,0.7,34,0.6396679376006066,0.6764705882352942
external_seed202,asset_holdout_study_60_assets,raw,0.7,0.8,41,0.7523432909459493,0.8292682926829268
external_seed202,asset_holdout_study_60_assets,raw,0.8,0.9,57,0.8563556625657437,1.0
external_seed202,asset_holdout_study_60_assets,raw,0.9,1.0,458,0.9810883482144122,0.9912663755458515
external_seed202,asset_holdout_study_60_assets,calibrated,0.0,0.1,3253,0.019940198987004838,0.018751921303412234
external_seed202,asset_holdout_study_60_assets,calibrated,0.1,0.2,481,0.1438630694181534,0.13305613305613306
external_seed202,asset_holdout_study_60_assets,calibrated,0.2,0.3,227,0.25032273277868344,0.22026431718061673
external_seed202,asset_holdout_study_60_assets,calibrated,0.3,0.4,115,0.34113335139960327,0.2
external_seed202,asset_holdout_study_60_assets,calibrated,0.4,0.5,87,0.44345210939809254,0.2413793103448276
external_seed202,asset_holdout_study_60_assets,calibrated,0.5,0.6,61,0.5417733179411738,0.26229508196721313
external_seed202,asset_holdout_study_60_assets,calibrated,0.6,0.7,38,0.648670476169249,0.5789473684210527
external_seed202,asset_holdout_study_60_assets,calibrated,0.7,0.8,60,0.7500313464674212,0.6
external_seed202,asset_holdout_study_60_assets,calibrated,0.8,0.9,72,0.8575490619326143,0.8888888888888888
external_seed202,asset_holdout_study_60_assets,calibrated,0.9,1.0,486,0.9786649199922228,0.9917695473251029
external_seed303,published_reference_80_assets,raw,0.0,0.1,4133,0.008345178297517488,0.027098959593515607
external_seed303,published_reference_80_assets,raw,0.1,0.2,92,0.13681462320880755,0.3695652173913043
external_seed303,published_reference_80_assets,raw,0.2,0.3,44,0.2466875910398176,0.5
external_seed303,published_reference_80_assets,raw,0.3,0.4,30,0.33891864367986463,0.6
external_seed303,published_reference_80_assets,raw,0.4,0.5,20,0.4560588233855132,0.4
external_seed303,published_reference_80_assets,raw,0.5,0.6,23,0.5490469556810276,0.6521739130434783
external_seed303,published_reference_80_assets,raw,0.6,0.7,25,0.657276428416177,0.76
external_seed303,published_reference_80_assets,raw,0.7,0.8,39,0.7509630499634472,0.6410256410256411
external_seed303,published_reference_80_assets,raw,0.8,0.9,72,0.8577500030797732,0.875
external_seed303,published_reference_80_assets,raw,0.9,1.0,402,0.9712869949053858,0.9800995024875622
external_seed303,published_reference_80_assets,calibrated,0.0,0.1,3762,0.020258426084857745,0.018341307814992026
external_seed303,published_reference_80_assets,calibrated,0.1,0.2,305,0.13888867051743034,0.08852459016393442
external_seed303,published_reference_80_assets,calibrated,0.2,0.3,94,0.243141748416404,0.2765957446808511
external_seed303,published_reference_80_assets,calibrated,0.3,0.4,55,0.33884628293478264,0.4
external_seed303,published_reference_80_assets,calibrated,0.4,0.5,37,0.44533655680588974,0.4594594594594595
external_seed303,published_reference_80_assets,calibrated,0.5,0.6,39,0.5434987057960741,0.5641025641025641
external_seed303,published_reference_80_assets,calibrated,0.6,0.7,24,0.6522687234179713,0.4166666666666667
external_seed303,published_reference_80_assets,calibrated,0.7,0.8,34,0.7460504488742428,0.6470588235294118
external_seed303,published_reference_80_assets,calibrated,0.8,0.9,70,0.8555712554019586,0.7142857142857143
external_seed303,published_reference_80_assets,calibrated,0.9,1.0,460,0.9730681449009341,0.967391304347826
external_seed303,asset_holdout_study_60_assets,raw,0.0,0.1,4009,0.010996924821208528,0.02469443751558992
external_seed303,asset_holdout_study_60_assets,raw,0.1,0.2,164,0.13696481180565015,0.22560975609756098
external_seed303,asset_holdout_study_60_assets,raw,0.2,0.3,63,0.23916876032127132,0.30158730158730157
external_seed303,asset_holdout_study_60_assets,raw,0.3,0.4,38,0.34537602332920164,0.5263157894736842
external_seed303,asset_holdout_study_60_assets,raw,0.4,0.5,28,0.4520031864206131,0.5357142857142857
external_seed303,asset_holdout_study_60_assets,raw,0.5,0.6,17,0.5471766444427386,0.6470588235294118
