cohort,model,failure_mode,positive_asset_days,alerted_positive_asset_days,recall
seed42_retrospective_asset_holdout,published_reference_80_assets,bearing_wear,43,32,0.7441860465116279
seed42_retrospective_asset_holdout,published_reference_80_assets,overheating,30,22,0.7333333333333333
seed42_retrospective_asset_holdout,published_reference_80_assets,seal_leak,41,27,0.6585365853658537
seed42_retrospective_asset_holdout,published_reference_80_assets,electrical_trip,0,0,
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,bearing_wear,43,39,0.9069767441860465
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,overheating,30,28,0.9333333333333333
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,seal_leak,41,34,0.8292682926829268
seed42_retrospective_asset_holdout,asset_holdout_study_60_assets,electrical_trip,0,0,
external_seed101,published_reference_80_assets,bearing_wear,230,152,0.6608695652173913
external_seed101,published_reference_80_assets,overheating,151,116,0.7682119205298014
external_seed101,published_reference_80_assets,seal_leak,159,115,0.7232704402515723
external_seed101,published_reference_80_assets,electrical_trip,229,0,0.0
external_seed101,asset_holdout_study_60_assets,bearing_wear,230,187,0.8130434782608695
external_seed101,asset_holdout_study_60_assets,overheating,151,130,0.8609271523178808
external_seed101,asset_holdout_study_60_assets,seal_leak,159,126,0.7924528301886793
external_seed101,asset_holdout_study_60_assets,electrical_trip,229,0,0.0
external_seed202,published_reference_80_assets,bearing_wear,221,152,0.6877828054298643
external_seed202,published_reference_80_assets,overheating,205,107,0.5219512195121951
external_seed202,published_reference_80_assets,seal_leak,302,178,0.5894039735099338
external_seed202,published_reference_80_assets,electrical_trip,111,0,0.0
external_seed202,asset_holdout_study_60_assets,bearing_wear,221,183,0.8280542986425339
external_seed202,asset_holdout_study_60_assets,overheating,205,128,0.624390243902439
external_seed202,asset_holdout_study_60_assets,seal_leak,302,200,0.6622516556291391
external_seed202,asset_holdout_study_60_assets,electrical_trip,111,0,0.0
external_seed303,published_reference_80_assets,bearing_wear,155,111,0.7161290322580646
external_seed303,published_reference_80_assets,overheating,280,169,0.6035714285714285
external_seed303,published_reference_80_assets,seal_leak,192,114,0.59375
external_seed303,published_reference_80_assets,electrical_trip,83,0,0.0
external_seed303,asset_holdout_study_60_assets,bearing_wear,155,138,0.8903225806451613
external_seed303,asset_holdout_study_60_assets,overheating,280,196,0.7
external_seed303,asset_holdout_study_60_assets,seal_leak,192,135,0.703125
external_seed303,asset_holdout_study_60_assets,electrical_trip,83,0,0.0
