weekly_capacity,dispatch_delay_days,hourly_cost_multiplier,annual_staffing_cad,annual_cloud_cad,annual_support_cad,one_time_implementation_cad,annual_operating_savings_cad,annual_net_program_savings_cad,first_year_net_savings_cad,break_even_annual_program_budget_cad,payback_months
3,2,0.5,150000.0,12000.0,30000.0,75000.0,8418446.161813185,8226446.161813185,8151446.161813185,8418446.161813185,0.10940325655782712
3,2,1.0,150000.0,12000.0,30000.0,75000.0,13567016.182417579,13375016.182417579,13300016.182417579,13567016.182417579,0.0672896382124094
3,2,1.5,150000.0,12000.0,30000.0,75000.0,18715586.203021973,18523586.203021973,18448586.203021973,18715586.203021973,0.04858670400730353
3,7,0.5,150000.0,12000.0,30000.0,75000.0,7431714.175631867,7239714.175631867,7164714.175631867,7431714.175631867,0.12431430000776929
3,7,1.0,150000.0,12000.0,30000.0,75000.0,12071302.300631866,11879302.300631866,11804302.300631866,12071302.300631866,0.07576202517820668
3,7,1.5,150000.0,12000.0,30000.0,75000.0,16710890.425631866,16518890.425631866,16443890.425631866,16710890.425631866,0.054483078270408346
5,2,0.5,150000.0,12000.0,30000.0,75000.0,10157900.76074176,9965900.76074176,9890900.76074176,10157900.76074176,0.0903079432162651
5,2,1.0,150000.0,12000.0,30000.0,75000.0,16180331.406346153,15988331.406346153,15913331.406346153,16180331.406346153,0.056291052338505336
5,2,1.5,150000.0,12000.0,30000.0,75000.0,22202762.051950548,22010762.051950548,21935762.051950548,22202762.051950548,0.040889088613823975
5,7,0.5,150000.0,12000.0,30000.0,75000.0,8839076.049148351,8647076.049148351,8572076.049148351,8839076.049148351,0.10408142531470402
5,7,1.0,150000.0,12000.0,30000.0,75000.0,14124123.137060441,13932123.137060441,13857123.137060441,14124123.137060441,0.06459891225092146
5,7,1.5,150000.0,12000.0,30000.0,75000.0,19409170.224972527,19217170.224972527,19142170.224972527,19409170.224972527,0.04683311795981589
10,2,0.5,150000.0,12000.0,30000.0,75000.0,8629183.089642856,8437183.089642856,8362183.089642856,8629183.089642856,0.10667067319006074
10,2,1.0,150000.0,12000.0,30000.0,75000.0,13677479.944038458,13485479.944038458,13410479.944038458,13677479.944038458,0.06673844785167353
10,2,1.5,150000.0,12000.0,30000.0,75000.0,18725776.798434064,18533776.798434064,18458776.798434064,18725776.798434064,0.04855998913702478
10,7,0.5,150000.0,12000.0,30000.0,75000.0,7969559.812005494,7777559.812005494,7702559.812005494,7969559.812005494,0.11571752860206282
10,7,1.0,150000.0,12000.0,30000.0,75000.0,12651984.537280217,12459984.537280217,12384984.537280217,12651984.537280217,0.07223122928501269
10,7,1.5,150000.0,12000.0,30000.0,75000.0,17334409.262554944,17142409.262554944,17067409.262554944,17334409.262554944,0.0525013716692622
1000,2,0.5,150000.0,12000.0,30000.0,75000.0,8460919.077445054,8268919.077445054,8193919.077445054,8460919.077445054,0.1088413118535541
1000,2,1.0,150000.0,12000.0,30000.0,75000.0,13420251.467554942,13228251.467554942,13153251.467554942,13420251.467554942,0.06803620283507904
1000,2,1.5,150000.0,12000.0,30000.0,75000.0,18379583.85766483,18187583.85766483,18112583.85766483,18379583.85766483,0.04948430792365591
1000,7,0.5,150000.0,12000.0,30000.0,75000.0,7925553.127335165,7733553.127335165,7658553.127335165,7925553.127335165,0.11637600274818606
1000,7,1.0,150000.0,12000.0,30000.0,75000.0,12583062.584752746,12391062.584752746,12316062.584752746,12583062.584752746,0.07263299606826729
1000,7,1.5,150000.0,12000.0,30000.0,75000.0,17240572.042170327,17048572.042170327,16973572.042170327,17240572.042170327,0.052790345008005
