weekly_capacity,dispatch_delay_days,policy,event_count,caught_failures,missed_failures,service_visits,carry_in_visits,unnecessary_services,unsuccessful_services,planned_downtime_hours,unplanned_downtime_hours,total_downtime_hours,emergency_repair_cost_cad,planned_service_cost_cad,downtime_cost_cad,total_cost_cad,mean_warning_days,median_warning_days,evaluation_years,asset_years,annualized_cost_cad
3,2,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
3,2,fixed_90_day,44,7,37,39,16,33,1,246,3354.2,3600.2,1254602.31,112000,3794665.0,5161267.31,15.714285714285714,14.0,0.24914442162902123,19.9315537303217,20715965.768983513
3,2,predictive,44,30,14,42,0,10,2,260,1098.4,1358.4,434330.91,117600,1229190.0,1781120.91,16.5,15.5,0.24914442162902123,19.9315537303217,7148949.586565933
3,7,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
3,7,fixed_90_day,44,7,37,39,16,33,1,246,3354.2,3600.2,1254602.31,112000,3794665.0,5161267.31,15.714285714285714,14.0,0.24914442162902123,19.9315537303217,20715965.768983513
3,7,predictive,44,26,18,39,0,11,2,242,1410.4,1652.4,561359.68,109600,1482810.0,2153769.6799999997,19.03846153846154,19.5,0.24914442162902123,19.9315537303217,8644663.468351647
5,2,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
5,2,fixed_90_day,44,7,37,65,24,60,0,388,3248.5,3636.5,1256142.07,172800,3785950.0,5214892.07,18.571428571428573,24.0,0.24914442162902123,19.9315537303217,20931201.41282967
5,2,predictive,44,37,7,51,0,10,4,302,469.0,771.0,264212.76,134400,785040.0,1183652.76,18.864864864864863,18.0,0.24914442162902123,19.9315537303217,4750870.006483517
5,7,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
5,7,fixed_90_day,44,7,37,65,24,60,0,388,3248.5,3636.5,1256142.07,172800,3785950.0,5214892.07,18.571428571428573,24.0,0.24914442162902123,19.9315537303217,20931201.41282967
5,7,predictive,44,32,12,48,0,12,4,284,891.8000000000001,1175.8,417075.58,126400,1152470.0,1695945.58,20.5,20.0,0.24914442162902123,19.9315537303217,6807078.275769231
10,2,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
10,2,fixed_90_day,44,12,32,81,25,69,1,486,2675.3,3161.3,1074770.59,216000,3300550.0,4591320.59,11.666666666666666,11.5,0.24914442162902123,19.9315537303217,18428349.950521976
10,2,predictive,44,37,7,51,0,10,4,302,469.0,771.0,264212.76,134400,785040.0,1183652.76,20.10810810810811,19.0,0.24914442162902123,19.9315537303217,4750870.006483517
10,7,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
10,7,fixed_90_day,44,12,32,81,25,69,1,486,2675.3,3161.3,1074770.59,216000,3300550.0,4591320.59,11.666666666666666,11.5,0.24914442162902123,19.9315537303217,18428349.950521976
10,7,predictive,44,34,10,49,0,11,4,288,694.2,982.2,343799.22000000003,128000,967350.0,1439149.22,21.38235294117647,21.0,0.24914442162902123,19.9315537303217,5776365.413241758
1000,2,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
1000,2,fixed_90_day,44,13,31,81,25,68,1,486,2607.1,3093.1,1055013.55,216000,3256220.0,4527233.55,10.923076923076923,10.0,0.24914442162902123,19.9315537303217,18171121.47403846
1000,2,predictive,44,37,7,51,0,10,4,302,469.0,771.0,264212.76,134400,785040.0,1183652.76,20.10810810810811,19.0,0.24914442162902123,19.9315537303217,4750870.006483517
1000,7,reactive,44,0,44,0,0,0,0,0,3877.0,3877.0,1492973.09,0,4012895.0,5505868.09,0.0,0.0,0.24914442162902123,19.9315537303217,22099102.41618132
1000,7,fixed_90_day,44,13,31,81,25,68,1,486,2607.1,3093.1,1055013.55,216000,3256220.0,4527233.55,10.923076923076923,10.0,0.24914442162902123,19.9315537303217,18171121.47403846
1000,7,predictive,44,35,9,49,0,10,4,288,645.1,933.1,328798.7,128000,935435.0,1392233.7,21.02857142857143,21.0,0.24914442162902123,19.9315537303217,5588058.889285713
