policy,failure_mode,signature,events,caught,missed,catch_rate,median_warning_days,emergency_repair_cost_cad,unplanned_downtime_hours
fixed_90_day,bearing_wear,gradual,17,6,11,0.35294117647058826,8.0,353204.84,968.6
fixed_90_day,electrical_trip,abrupt,3,0,3,0.0,,135099.02000000002,190.2
fixed_90_day,overheating,gradual,16,5,11,0.3125,13.0,395945.17,980.0000000000001
fixed_90_day,seal_leak,gradual,8,2,6,0.25,3.5,170764.52,468.29999999999995
predictive,bearing_wear,gradual,17,14,3,0.8235294117647058,21.5,112061.39,234.7
predictive,electrical_trip,abrupt,3,0,3,0.0,,135099.02000000002,190.2
predictive,overheating,gradual,16,15,1,0.9375,19.0,17052.35,44.1
predictive,seal_leak,gradual,8,8,0,1.0,17.5,0.0,0.0
reactive,bearing_wear,gradual,17,0,17,0.0,,538942.74,1461.1
reactive,electrical_trip,abrupt,3,0,3,0.0,,135099.02000000002,190.2
reactive,overheating,gradual,16,0,16,0.0,,573154.02,1505.1000000000001
reactive,seal_leak,gradual,8,0,8,0.0,,245777.31,720.6
