actionable_days,intervention_success,annualized_savings_cad,unplanned_downtime_reduction_pct,predictive_caught,fixed_caught
14,0.7,-884454.4804945029,-8.944798589447988,7,9
14,0.9,406462.72285714,0.07008690776563187,11,10
14,1.0,406462.72285714,0.07008690776563187,11,10
21,0.7,2873369.6918406617,13.366180941398476,15,10
21,0.9,6112825.163983518,37.138932070424055,23,11
21,1.0,7116003.554917581,42.9426891991183,26,12
30,0.7,9624723.01936813,51.071151071151064,27,12
30,0.9,13420251.467554942,82.01066318898394,37,13
30,1.0,14766825.425769228,92.57900897385876,41,14
45,0.7,8556580.420549452,47.62979683972911,27,14
45,0.9,10826680.815741759,78.49314440317329,37,18
45,1.0,12173254.773956046,91.09800617803988,41,19
